Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
27.22	822	267.7996015
27.23	877	268.3214726
27.24	915	268.6820381
27.25	892	268.4638011
27.26	871	268.2645412
27.27	855	268.1127242
27.28	849	268.0557928
27.29	823	267.80909
27.3	845	268.0178385
27.31	878	268.3309612
27.32	852	268.0842585
27.33	820	267.7806243
27.34	857	268.1317013
27.35	898	268.5207325
27.36	876	268.3119841
27.37	833	267.9039757
27.38	875	268.3024955
27.39	874	268.2930069
27.4	842	267.9893728
27.41	902	268.5586868
27.42	914	268.6725496
27.43	873	268.2835184
27.44	832	267.8944871
27.45	849	268.0557928
27.46	875	268.3024955
27.47	854	268.1032356
27.48	855	268.1127242
27.49	853	268.093747
27.5	855	268.1127242
27.51	851	268.0747699
27.52	834	267.9134643
27.53	856	268.1222127
27.54	836	267.9324414
27.55	833	267.9039757
27.56	862	268.1791441
27.57	836	267.9324414
27.58	869	268.2455641
27.59	879	268.3404498
27.6	852	268.0842585
27.61	826	267.8375557
27.62	827	267.8470443
27.63	818	267.7616472
27.64	847	268.0368156
27.65	836	267.9324414
27.66	870	268.2550527
27.67	853	268.093747
27.68	855	268.1127242
27.69	858	268.1411899
27.7	851	268.0747699
27.71	850	268.0652813
27.72	819	267.7711358
27.73	852	268.0842585
27.74	861	268.1696556
27.75	840	267.9703957
27.76	842	267.9893728
27.77	865	268.2076098
27.78	892	268.4638011
27.79	862	268.1791441
27.8	867	268.226587
27.81	847	268.0368156
27.82	868	268.2360755
27.83	860	268.160167
27.84	831	267.8849986
27.85	848	268.0463042
27.86	883	268.378404
27.87	894	268.4827783
27.88	833	267.9039757
27.89	827	267.8470443
27.9	854	268.1032356
27.91	848	268.0463042
27.92	845	268.0178385
27.93	874	268.2930069
27.94	873	268.2835184
27.95	837	267.94193
27.96	810	267.6857387
27.97	849	268.0557928
27.98	864	268.1981213
27.99	878	268.3309612
28	845	268.0178385
28.01	815	267.7331815
28.02	847	268.0368156
28.03	893	268.4732897
28.04	883	268.378404
28.05	890	268.444824
28.06	889	268.4353354
28.07	857	268.1317013
28.08	833	267.9039757
28.09	818	267.7616472
28.1	820	267.7806243
28.11	833	267.9039757
28.12	857	268.1317013
28.13	874	268.2930069
28.14	832	267.8944871
28.15	828	267.8565329
28.16	861	268.1696556
28.17	853	268.093747
28.18	846	268.0273271
28.19	842	267.9893728
28.2	836	267.9324414
28.21	827	267.8470443
28.22	885	268.3973812
28.23	892	268.4638011
28.24	839	267.9609071
28.25	836	267.9324414
28.26	849	268.0557928
28.27	874	268.2930069
28.28	874	268.2930069
28.29	885	268.3973812
28.3	870	268.2550527
28.31	904	268.5776639
28.32	884	268.3878926
28.33	870	268.2550527
28.34	846	268.0273271
28.35	859	268.1506784
28.36	880	268.3499383
28.37	849	268.0557928
28.38	833	267.9039757
28.39	859	268.1506784
28.4	864	268.1981213
28.41	867	268.226587
28.42	862	268.1791441
28.43	842	267.9893728
28.44	814	267.7236929
28.45	840	267.9703957
28.46	851	268.0747699
28.47	864	268.1981213
28.48	879	268.3404498
28.49	875	268.3024955
28.5	887	268.4163583
28.51	878	268.3309612
28.52	860	268.160167
28.53	844	268.0083499
28.54	826	267.8375557
28.55	848	268.0463042
28.56	860	268.160167
28.57	876	268.3119841
28.58	875	268.3024955
28.59	877	268.3214726
28.6	866	268.2170984
28.61	880	268.3499383
28.62	881	268.3594269
28.63	865	268.2076098
28.64	878	268.3309612
28.65	861	268.1696556
28.66	824	267.8185786
28.67	815	267.7331815
28.68	852	268.0842585
28.69	882	268.3689155
28.7	866	268.2170984
28.71	834	267.9134643
28.72	856	268.1222127
28.73	847	268.0368156
28.74	847	268.0368156
28.75	864	268.1981213
28.76	881	268.3594269
28.77	872	268.2740298
28.78	870	268.2550527
28.79	894	268.4827783
28.8	908	268.6156182
28.81	878	268.3309612
28.82	848	268.0463042
28.83	859	268.1506784
28.84	845	268.0178385
28.85	833	267.9039757
28.86	864	268.1981213
28.87	843	267.9988614
28.88	866	268.2170984
28.89	880	268.3499383
28.9	903	268.5681753
28.91	869	268.2455641
28.92	868	268.2360755
28.93	877	268.3214726
28.94	881	268.3594269
28.95	870	268.2550527
28.96	865	268.2076098
28.97	837	267.94193
28.98	838	267.9514185
